Id,profileName,text,rating,helpful
1,Raunav Dasgupta,"The product is okay, you can easily transfer the files, it is much needed for IOS users, its hassle free, the only problematic thing is that, once your screen display is off, this product will be disconnected. You need to keep your display on from settings. The main concern is the price, it is way costly, the price should be around 1700, then okay.  Overall a decent product.",4,6
2,SUMAN,I am using it with my iPhone 13 and it works perfectly. Only one problem I found that is about its app functionality. When taking back up if screen locked after timeout it stops back up. This app should keep phone unlocked while it’s working but it’s missing. I hope this is an improvement idea for the app.,4,2
3,Deepak nagpal,This is a very compact pendrive and it holds tons of pictures. My iCloud was almost full so I downloaded all my pictures and saved them on this small drive just by plugging it right into my iPhone.Now that I have freed up more space on my phone I can take more pictures and not have to worry about running out of room ever again. Very convenient and easy,5,0
4,ajay chauhan,Osm🔥,3,0
5,JAYA,"Highly versatile product. A worth buy . Doing good so far . Makes everyday tech work easier . Fast and easy transfer of data and backups as it's compatible with almost all major brands of smartphones , laptops and iPad.",5,0
6,Akshay K.,Good product with android but sometime give issue while back up with I phone,4,0
7,Rajeev Acharya,"This is one of the products that you can have with you, if you deal with data across devices of ios, android, windows,etc.The product has an app which makes your experience even smoother.Read/write speed is just decent, but taking into consideration the usefulness it provides, it’s a great buy!",4,2
8,TechMagic,"A easy tool , for cross platform data sharing. Not sure about the life of the memory, but so far so good.",5,0
9,Rajesh,In this category it is very best.,5,0
10,Padmanaban JS,"- We can backup pics, videos from iPhone.Only challenge is during backup ,Issues :1. iPhone should not get locked. If the screen is locked copying to device will stop.2. We cannot copy files from iPhone.3. Y disk app is not that great to copy contents from iPhone to pendrive.",4,5
11,Navjot Singh,Superb product,5,0
12,Dibyendu biswas,It’s good,5,0
13,G M Nesargi,,5,0
14,Chetna ,"This pendrive is an excellent product. I purchased this to replace a precious drive that has lasted a very long time. The product is well made, sturdy, and exactly as described. The storage capacity is accurate, and the app is easy to use to move large amounts of data back and forth. I highly recommend this pendrive.",5,0
15,Vishnu,This is exactly what I wanted. Go for it...absolutely no complaints,5,0
16,Sumit Bhoge,Product is very well and So good but according to 64 GB Rs.1400 is very high price ✨,5,0
17,PARTHA PRAMANIK,Speed is good and it’s work smoothly in my ios and android device,4,1
18,K.V.Rama Rao,Use full,4,0
19,RANJITH,Good product working good for iphone,5,0
20,Sainath,"We tried to clean up our iPhone data by transferring to or windows laptop, before this it was difficult but after purchasing this one, it’s very easy, it worked like gem… satisfied",5,0
21,SUBHASH VERMA,Very nice product,5,0
22,Customer,Very satisfied with the product. Made photo transfer very easy for me.,5,0
23,Jayati,Purpose of seamlessly sharing files well achieved Among various types of devices,5,0
24,himavanth,Money equity to comfort,5,0
25,SWAPNIL PILANKAR,This product is better for transferring the photos/ videos,4,2
26,Nishtha Singh,"I just took me 1-2 hrs to shift from my phone to my pen driveThis product solved all my problemsI almost transferred 12,000 photos and it just happened smoothlyNow my phone feels so relaxThankyou for making this product and thankyou Amazon for delivering it to us.Totally impressed and in love 😭😭🥰🥰",5,1
27,Mohammad yaseen ,Very good product,5,0
28,Jashoda,"It was pretty quick to back up data from my PC and I figured out that I did not need to install any software on my Android phone, It was easy to access that data from there.  So far no issues and I would definitely buy it again for my families.Highly recommend!",5,1
29,Mohit,Why it is not able to process files more than 5 gb??,3,1
30,Deepika Kumar,"This cool 64gb flash drive allows me to get huge video files off my Android phone, move them quickly to mt iPad for editing, and then over to my computer for uploading to YouTube absolutely genius! Great value for money!",5,0
31,KAUSHIK,It's a must have for folks who travel and take pictures.WhatsApp reduces the pixels of photos.This drive helps you to easily copy original pics from one phone to another phone or laptop.,5,0
32,Ghrit, I liked it coz it’s solving many problems in one shot.we can connect with anything and can get free from our storage problem specifically in iPhone.I used it with iPhone android and laptop.it could be more fast !,5,2
33,Surender Kumar Taneja,1. Poor packaging2. Other wise the product is fine3. Neither good noe worst4. Please improve packaging .,4,4
34,menuka,Easy to use… love it!,5,0
35,Ketan Prajapati,"If you own apple, windows and android products together this one is must have product for you for easy file transfer.",5,0
36,Anjali verma ,"Worth it, must to buy!! the product is exactly what I was looking  👌",5,0
37,saibabu,"This pen drive is a great way to free up the space on my iPhone , already saved all my videos/photos  within minutes! This really saves me a lot of money. I don’t have to put my pic or anything on iCloud. It has a large storage capacity and is very easy to use. I totally recommend this product.",5,2
38,Saurabh,Very easy to install and transfer pics,5,0
39,Amazon Customer,"It can’t copy content of data more than 4 gb, despite of the available memories, rest everything is satisfactory.",3,0
40,SK,The application for ios of this pendrive is very average. Doesn't perform the functions properly.  It crashes all of a sudden. No ease.Should have gone for the sandisk one.,3,1
41,Chandu P,"Easy to use, easy to transfer my new iPhone pictures to my external hard drive on my desktop to free up my phone space.  Absolutly loving the pendrive.  Going to buy more for my family members that need to free up space on their phones.  Highly recommended and worth the cost!",5,3
42,Tejashri,I have transferred some videos from pendrive and some via USBThe one I transfer from this pendrive has pathetic video quality it was only half the size of original and video looks very bad,1,0
43,Arvind sahu,This flash drive is everything I’ve needed and more. It’s easy to use right from the start after plugging it into my iPhone. I got the app from the App Store and starting moving my photos within minutes of reading the quick step-by-step instructions.I’m extremely happy with my purchase. Highly recommend!,5,4
44,Nikhil Reddy,Amazing loved it,5,0
45,Rishi,It is good but the transfer speed from pendrive to lapto is very slow.,5,0
46,Sarfaraz h Batliwala,Good productWorth buying,5,0
